"","L3_Control_heterozygous_1","L3_Control_heterozygous_2","L3_Control_heterozygous_3","L3_Control_heterozygous_4","L3_Control_heterozygous_5","L3_Control_heterozygous_6","L3_Control_heterozygous_7","L3_Control_heterozygous_8","L3_Pantethine_heterozygous_1","L3_Pantethine_heterozygous_2","L3_Pantethine_heterozygous_3","L3_Pantethine_heterozygous_4","L3_Pantethine_heterozygous_5","L3_Pantethine_heterozygous_6","L3_Pantethine_heterozygous_7","L3_Pantethine_heterozygous_8","L3_VitaminB5_heterozygous_1","L3_VitaminB5_heterozygous_2","L3_VitaminB5_heterozygous_3","L3_VitaminB5_heterozygous_4","L3_VitaminB5_heterozygous_5","L3_VitaminB5_heterozygous_6","L3_VitaminB5_heterozygous_7"
"fe4edb1d075650365d52b16bb1dac8ab",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"1b30416fb4ff9bb4944a46ba3bab60c3",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31c289176cec20031daddc29621b138d",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0566a9753a856f3db23ef7b6a2d93ebc",123,174,186,170,124,145,135,162,119,161,181,142,142,206,175,134,112,169,150,125,90,135,131
"57d103b2a4f79082da11894bb3d3c3c3",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"e36512be495778548ee442c4273e478d",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"6ce066e062c7fa3e67f6a2b20842b2dc",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"7e4581cc7a8b0e2fca05286190f84815",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"a991f0ddfb4bd979a66a355e050ff6a3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"083bab81284862b2fcb75599551bef37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"cb891856a0c604d78cf31440e8395d4a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"61be3476c72c535fbde4bcc8739857e6",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1c23b053aad9272abf9fe6b856929cb5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"1ae522f7c361e9f9e7091ed535e08d45",0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
"97b9e7c2b9cdf3df01e675faa35e3e86",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3cd303c161152a09d9084fdf76195941",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"3022820e542139cc50a6411976c1c665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"9913a3be6f06f108f3ee804527314a3b",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"909af7a0dd95bdedc18f9c65734746e3",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dd7f51c6f3cde6fe9205e9f14d47b2e1",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"4452aa1d0e95ce97031e43a8ad3759cd",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"9e3887432259778d4147b3ce965a4a2a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"6c5d1b7e21b732fb179c41cbba1fc884",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"0da66f27ec1be058f475a8d705683d15",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"6875cc1bc5065035a6e8070c8b029962",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"bb8a9707d33f79898a954882d1b0e14f",0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"facc141b64e82fb7fba091e90de8b94a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
"6828b2f7d89fb90cd3f4f643fdf778dc",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"1195fa8ba2827e61ee0ec30ea396b8e5",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d75d23fea01bb88f0566d098158622a4",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"358bb591de17f6d639eb8e0e8852faf0",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"92b7e77d410ad042f0f704c9b0e28cb2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"79ec9f2017e3f5d4c5974dafcbbaccfd",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"360c415a38599fe0edce8b98093c463d",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"9da6d8617d203161781a2c3fa68958c4",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36a2e043c53bb38303f5d3d871b80f92",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
