;Wild type_1;dPANK/fbl_1;dPANK/fbl_2;Wild type_2;Wild type_3;Wild type_4;dPANK/fbl_3;dPANK/fbl_4;Wild type_5;dPANK/fbl_5;Kingdom;Phylum;Class;Order;Family;Genus;Species
34a37b3ac9ab6ac1e141deb32635029b;0;0;0;0;0;0;0;2;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
354169de2235025f28237868ea74dee5;0;0;0;0;0;0;0;0;0;1;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
362ea8f9fa630b9e1c9d3c82e660fac1;0;0;0;0;0;1;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
3683e85b1b67f9045f3a55f65e8d7c7a;0;0;0;1;0;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
36bf66095afdb6aaac2656fd2445b488;0;0;0;0;0;0;0;2;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Marinobacterium;uncultured bacterium
36d41fd4eedbc377266cc53399254813;0;0;0;0;2;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;
376cbac42e43a97524ec1ba8a4329d2d;0;0;0;0;0;1;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;uncultured;uncultured bacterium;uncultured bacterium;uncultured bacterium
37f79d82303f133502eb9d6d5a9137f6;0;0;0;1;0;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Mesorhizobium;
391abfe9b0438540cb485bc3ababd04b;0;0;0;1;0;0;1;0;0;1;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;uncultured;uncultured soil bacterium
3949f0269a0d96bbe19bffe5589e445a;0;0;0;4;2;2;2;0;1;0;Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Microscillaceae;uncultured;
396af7dd471f095e8140f85cc8f1d3e1;0;0;0;0;1;0;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
397febf4cfcb665f57a8b3428d2f5fe3;0;0;0;0;0;0;1;0;0;0;Bacteria;Acidobacteria;Holophagae;Subgroup 7;uncultured Acidobacteria bacterium;uncultured Acidobacteria bacterium;uncultured Acidobacteria bacterium
39edd9332662034a8dd4f273e6b6e082;0;0;0;0;0;0;1;0;0;0;Bacteria;Nitrospirae;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira;uncultured bacterium
3a8ad6c8ba7bd3cfa1ba4a08008c30c9;0;0;0;0;0;0;0;0;0;1;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;
3aa043f142834c636af93b4353c691c5;0;0;0;0;0;0;2;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;
3aadf40f8dfc981049d7bd4c9c565670;0;0;0;0;0;0;0;0;2;0;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
3ab8e122a60ee4c1c37169ba0b7eb9a2;0;2;0;0;0;0;0;0;0;0;Bacteria;Acidobacteria;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;uncultured bacterium
3b1632a7a8aeb01f47922ced1949b182;0;0;0;0;0;0;0;2;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;PLTA13;uncultured bacterium;uncultured bacterium;uncultured bacterium
3bc5a00e205c66bd0171c430cc3199f3;0;2;0;0;0;0;0;0;0;0;Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;
3bd178382fe2821aa4b0e6e553f50ebd;0;0;0;0;0;0;2;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Rhizobacter;
3d6790341e72bb1f77a5f6dfed1e12f4;0;0;0;0;0;0;1;0;0;0;Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter;uncultured bacterium
3e53dd9cc862ecfb2378b642bef09d68;0;0;0;1;0;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Sulfitobacter;uncultured marine bacterium
3f47db26aec287ee597c23f9ee9f0187;0;2;0;0;0;2;0;0;0;1;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus;
3fda856940e4291d32b74427d858fabb;0;0;0;1;0;0;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Nitrincolaceae;Marinobacterium;
40bd0c7116b94795b805f8400642b666;0;0;0;0;0;0;0;0;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Colwelliaceae;Colwellia;
42bd58f075dfecdbd7dd863076958c5a;0;0;0;0;0;0;0;0;0;2;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;uncultured bacterium
43f81a33e558d5b4938102fbebdb7e36;0;0;0;0;0;0;0;0;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;Leptothrix;uncultured bacterium
4441d02d5bbb3ea3eed1d1cea3b0df02;0;0;0;2;0;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;uncultured;
45337c78dfd62f17b1b40b5f72c005b8;0;0;0;1;0;0;0;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;;
45c087f09352bb29f3d7259fa2f51423;0;0;0;0;0;3;2;1;1;2;Bacteria;Actinobacteria;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;uncultured bacterium
45d862f3ef55c6b3ad908f53d8dad1b2;0;0;0;0;0;0;0;0;1;0;Bacteria;Proteobacteria;Gammaproteobacteria;Betaproteobacteriales;Burkholderiaceae;;
48aaa9c1069ec468c7ee708774b34a59;0;0;0;2;0;0;0;0;0;0;Bacteria;Proteobacteria;Gammaproteobacteria;Arenicellales;Arenicellaceae;Arenicella;uncultured bacterium
48b34393e9bb798d8fa9f07f5338cf42;0;0;0;0;0;0;0;1;0;0;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Sva1033;uncultured bacterium;uncultured bacterium
48c59ac512f855857c6833ccca4f20e0;0;0;0;0;0;0;0;0;0;2;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;
4b11cc00c038e999735de82181190355;0;0;0;0;0;0;1;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Marivita;uncultured bacterium
4b2663f5a18dc2ef87abe7f776198af2;0;0;0;0;0;0;1;0;0;0;Bacteria;Proteobacteria;Alphaproteobacteria;Acetobacterales;Acetobacteraceae;Acetobacter;
